,Date (day),Tick,Total Swap Fees Earned (USDC),Representative Liquidity,Daily % Return
3,2024-08-01,195525,296.973437058,6.739485655078349e+19,4.4064703488792807e-16
5,2024-08-01,195530,337.80230373,8.142105362308263e+18,4.148832380550699e-15
8,2024-08-01,195535,104.16807069000001,8.142105362308263e+18,1.2793751254094391e-15
17,2024-08-01,195577,403.142263566,8.142105362308263e+18,4.951327029397595e-15
19,2024-08-01,195584,225.69452522100005,7.513563473994968e+18,3.0038280238417697e-15
24,2024-08-01,195597,259.0013928,7.513563473994968e+18,3.447117918101366e-15
26,2024-08-01,195601,260.553715701,7.365750907649209e+18,3.537368001820687e-15
27,2024-08-01,195602,223.319858073,7.297527344678117e+18,3.060212692945384e-15
29,2024-08-01,195605,276.69375,7.365750907649209e+18,3.756490729446989e-15
30,2024-08-01,195606,168.1640625,7.365750907649209e+18,2.283053888305732e-15
31,2024-08-01,195608,168.92861961900002,7.365750907649209e+18,2.293433782067901e-15
32,2024-08-01,195610,136.171875,7.365750907649209e+18,1.8487168071158606e-15
33,2024-08-01,195611,306.250737126,7.365750907649209e+18,4.1577666821174166e-15
34,2024-08-01,195612,154.500768294,7.365750907649209e+18,2.0975562468933553e-15
35,2024-08-01,195614,139.6875,7.365750907649209e+18,1.8964461566971654e-15
36,2024-08-01,195616,277.371815163,7.374744417039341e+18,3.7611041071760085e-15
37,2024-08-01,195617,165.40062726,7.365750907649209e+18,2.2455365289129477e-15
38,2024-08-01,195619,15.0,7.382288974116535e+18,2.0318901160049892e-16
39,2024-08-01,195620,694.620456117,7.365750907649209e+18,9.430409266157078e-15
40,2024-08-01,195622,117.445108869,7.366716875857834e+18,1.594266629872671e-15
42,2024-08-01,195626,351.266524041,7.365750907649209e+18,4.7689166854151365e-15
43,2024-08-01,195627,141.11495959799998,7.365750907649209e+18,1.9158258454199755e-15
44,2024-08-01,195629,649.6402311659999,7.387801662938976e+18,8.793417322299412e-15
45,2024-08-01,195630,172.54197137100002,7.365750907649209e+18,2.3424899040750625e-15
48,2024-08-01,195633,164.616849231,7.365750907649209e+18,2.2348956853814885e-15
49,2024-08-01,195636,13.542011037000002,7.365750907649209e+18,1.838510588640304e-16
50,2024-08-01,195637,576.09375,7.365750907649209e+18,7.82124941805643e-15
51,2024-08-01,195638,60.92964986700006,7.513563473994968e+18,8.109287966739398e-16
52,2024-08-01,195639,125.95481483999998,7.513563473994968e+18,1.6763658851880266e-15
54,2024-08-01,195642,294.99931998900007,7.513563473994968e+18,3.9262238352017096e-15
56,2024-08-01,195645,163.21759991400003,7.513563473994968e+18,2.172306129826532e-15
58,2024-08-01,195647,101.25077530500002,7.513563473994968e+18,1.3475733006773267e-15
59,2024-08-01,195648,129.834900978,7.513563473994968e+18,1.728006976015692e-15
60,2024-08-01,195649,19.15565289,7.365750907649209e+18,2.6006381603411503e-16
61,2024-08-01,195651,2700.268863744,7.365750907649209e+18,3.665979066628245e-14
63,2024-08-01,195653,74.06757204,7.382288974116535e+18,1.0033144502970899e-15
64,2024-08-01,195654,180.46875,7.365750907649209e+18,2.4501066118402974e-15
65,2024-08-01,195655,217.693571766,7.366837621883911e+18,2.955047782230464e-15
67,2024-08-01,195657,360.698581911,7.366113145727443e+18,4.896728773711758e-15
68,2024-08-01,195658,370.760215329,7.366113145727443e+18,5.0333222962241834e-15
70,2024-08-01,195661,180.97187647500002,7.366837621883911e+18,2.45657479862737e-15
71,2024-08-01,195663,249.7265625,7.366837621883911e+18,3.389874669670509e-15
