,Date (day),Tick,Total Swap Fees Earned (USDC),Representative Liquidity,Daily % Return
0,2024-08-01,195512,0.0,8.142116545692671e+18,0.0
1,2024-08-01,195516,0.0,8.142116545692671e+18,0.0
2,2024-08-01,195521,0.0,6.739485655078349e+19,0.0
3,2024-08-01,195525,296.973437058,6.739485655078349e+19,4.4064703488792807e-16
4,2024-08-01,195527,0.0,8.142088587231653e+18,0.0
5,2024-08-01,195530,337.80230373,8.142105362308263e+18,4.148832380550699e-15
6,2024-08-01,195533,0.0,8.142105362308263e+18,0.0
7,2024-08-01,195534,0.0,8.142105362308263e+18,0.0
8,2024-08-01,195535,104.16807069000001,8.142105362308263e+18,1.2793751254094391e-15
9,2024-08-01,195536,0.0,8.142116545692671e+18,0.0
10,2024-08-01,195537,0.0,8.142116545692671e+18,0.0
11,2024-08-01,195540,0.0,8.142116545692671e+18,0.0
12,2024-08-01,195545,0.0,8.142116545692671e+18,0.0
13,2024-08-01,195548,0.0,8.142116545692671e+18,0.0
14,2024-08-01,195554,0.0,8.142088587231653e+18,0.0
15,2024-08-01,195564,0.0,8.142060628770635e+18,0.0
16,2024-08-01,195574,0.0,8.142060628770635e+18,0.0
17,2024-08-01,195577,403.142263566,8.142105362308263e+18,4.951327029397595e-15
18,2024-08-01,195582,0.0,8.142060628770635e+18,0.0
19,2024-08-01,195584,225.69452522100005,7.513563473994968e+18,3.0038280238417697e-15
20,2024-08-01,195587,0.0,7.513563473994968e+18,0.0
21,2024-08-01,195593,0.0,7.513563473994968e+18,0.0
22,2024-08-01,195594,0.0,7.513563473994968e+18,0.0
23,2024-08-01,195595,0.0,7.513563473994968e+18,0.0
24,2024-08-01,195597,259.0013928,7.513563473994968e+18,3.447117918101366e-15
25,2024-08-01,195600,0.0,7.513563473994968e+18,0.0
26,2024-08-01,195601,260.553715701,7.365750907649209e+18,3.537368001820687e-15
27,2024-08-01,195602,223.319858073,7.297527344678117e+18,3.060212692945384e-15
28,2024-08-01,195603,0.0,7.29828166964929e+18,0.0
29,2024-08-01,195605,276.69375,7.365750907649209e+18,3.756490729446989e-15
30,2024-08-01,195606,168.1640625,7.365750907649209e+18,2.283053888305732e-15
31,2024-08-01,195608,168.92861961900002,7.365750907649209e+18,2.293433782067901e-15
32,2024-08-01,195610,136.171875,7.365750907649209e+18,1.8487168071158606e-15
33,2024-08-01,195611,306.250737126,7.365750907649209e+18,4.1577666821174166e-15
34,2024-08-01,195612,154.500768294,7.365750907649209e+18,2.0975562468933553e-15
35,2024-08-01,195614,139.6875,7.365750907649209e+18,1.8964461566971654e-15
36,2024-08-01,195616,277.371815163,7.374744417039341e+18,3.7611041071760085e-15
37,2024-08-01,195617,165.40062726,7.365750907649209e+18,2.2455365289129477e-15
38,2024-08-01,195619,15.0,7.382288974116535e+18,2.0318901160049892e-16
39,2024-08-01,195620,694.620456117,7.365750907649209e+18,9.430409266157078e-15
40,2024-08-01,195622,117.445108869,7.366716875857834e+18,1.594266629872671e-15
41,2024-08-01,195624,0.0,7.365750907649209e+18,0.0
42,2024-08-01,195626,351.266524041,7.365750907649209e+18,4.7689166854151365e-15
43,2024-08-01,195627,141.11495959799998,7.365750907649209e+18,1.9158258454199755e-15
44,2024-08-01,195629,649.6402311659999,7.387801662938976e+18,8.793417322299412e-15
45,2024-08-01,195630,172.54197137100002,7.365750907649209e+18,2.3424899040750625e-15
46,2024-08-01,195631,0.0,7.365750907649209e+18,0.0
47,2024-08-01,195632,0.0,7.365750907649209e+18,0.0
48,2024-08-01,195633,164.616849231,7.365750907649209e+18,2.2348956853814885e-15
49,2024-08-01,195636,13.542011037000002,7.365750907649209e+18,1.838510588640304e-16
50,2024-08-01,195637,576.09375,7.365750907649209e+18,7.82124941805643e-15
51,2024-08-01,195638,60.92964986700006,7.513563473994968e+18,8.109287966739398e-16
52,2024-08-01,195639,125.95481483999998,7.513563473994968e+18,1.6763658851880266e-15
